Model size: 757K
Acc@10: 0.8900, Acc@20: 0.9810, Param Norm: 78.14, Grad Norm: 10.85
Acc@10: 0.9250, Acc@20: 0.9930, Param Norm: 78.22, Grad Norm: 9.25
Acc@10: 0.8990, Acc@20: 0.9890, Param Norm: 78.29, Grad Norm: 6.09
Acc@10: 0.9560, Acc@20: 0.9940, Param Norm: 78.34, Grad Norm: 3.60
Acc@10: 0.9200, Acc@20: 0.9930, Param Norm: 78.39, Grad Norm: 6.41
Acc@10: 0.9320, Acc@20: 0.9920, Param Norm: 78.45, Grad Norm: 6.22
Acc@10: 0.8940, Acc@20: 0.9890, Param Norm: 78.52, Grad Norm: 8.97
Acc@10: 0.9050, Acc@20: 0.9900, Param Norm: 78.58, Grad Norm: 5.34
Acc@10: 0.9220, Acc@20: 0.9890, Param Norm: 78.67, Grad Norm: 6.91
Model Saved!
Acc@10: 0.8850, Acc@20: 0.9880, Param Norm: 78.74, Grad Norm: 6.83
Acc@10: 0.9390, Acc@20: 0.9960, Param Norm: 78.80, Grad Norm: 5.74
Acc@10: 0.8980, Acc@20: 0.9900, Param Norm: 78.84, Grad Norm: 6.72
Acc@10: 0.9250, Acc@20: 0.9890, Param Norm: 78.92, Grad Norm: 5.99
Acc@10: 0.9120, Acc@20: 0.9890, Param Norm: 78.97, Grad Norm: 4.18
Acc@10: 0.9190, Acc@20: 0.9930, Param Norm: 79.00, Grad Norm: 5.02
Acc@10: 0.9020, Acc@20: 0.9900, Param Norm: 79.07, Grad Norm: 6.46
Acc@10: 0.9250, Acc@20: 0.9880, Param Norm: 79.11, Grad Norm: 5.43
Acc@10: 0.9180, Acc@20: 0.9940, Param Norm: 79.15, Grad Norm: 5.04
Acc@10: 0.9170, Acc@20: 0.9920, Param Norm: 79.21, Grad Norm: 5.17
Acc@10: 0.8940, Acc@20: 0.9890, Param Norm: 79.27, Grad Norm: 5.82
Acc@10: 0.9050, Acc@20: 0.9880, Param Norm: 79.35, Grad Norm: 6.46
Acc@10: 0.9090, Acc@20: 0.9920, Param Norm: 79.40, Grad Norm: 4.25
Acc@10: 0.9290, Acc@20: 0.9910, Param Norm: 79.44, Grad Norm: 5.17
Acc@10: 0.9210, Acc@20: 0.9930, Param Norm: 79.49, Grad Norm: 4.12
Acc@10: 0.9380, Acc@20: 0.9940, Param Norm: 79.52, Grad Norm: 3.21
Acc@10: 0.9090, Acc@20: 0.9830, Param Norm: 79.56, Grad Norm: 10.05
Acc@10: 0.9350, Acc@20: 0.9960, Param Norm: 79.60, Grad Norm: 4.04
Acc@10: 0.9030, Acc@20: 0.9890, Param Norm: 79.69, Grad Norm: 4.71
Acc@10: 0.9130, Acc@20: 0.9900, Param Norm: 79.77, Grad Norm: 8.02
Model Saved!
Acc@10: 0.9230, Acc@20: 0.9940, Param Norm: 79.82, Grad Norm: 3.33
Acc@10: 0.9130, Acc@20: 0.9940, Param Norm: 79.86, Grad Norm: 5.27
Acc@10: 0.9060, Acc@20: 0.9870, Param Norm: 79.90, Grad Norm: 3.74
Acc@10: 0.9240, Acc@20: 0.9900, Param Norm: 79.96, Grad Norm: 6.03
Acc@10: 0.8900, Acc@20: 0.9920, Param Norm: 80.00, Grad Norm: 4.86
Acc@10: 0.9170, Acc@20: 0.9930, Param Norm: 80.03, Grad Norm: 2.49
Acc@10: 0.9290, Acc@20: 0.9930, Param Norm: 80.06, Grad Norm: 3.50
Acc@10: 0.9320, Acc@20: 0.9900, Param Norm: 80.10, Grad Norm: 5.65
Acc@10: 0.9200, Acc@20: 0.9900, Param Norm: 80.12, Grad Norm: 4.01
Acc@10: 0.9200, Acc@20: 0.9950, Param Norm: 80.16, Grad Norm: 3.49
Acc@10: 0.9020, Acc@20: 0.9900, Param Norm: 80.20, Grad Norm: 4.92
Acc@10: 0.9080, Acc@20: 0.9880, Param Norm: 80.24, Grad Norm: 5.27
Acc@10: 0.9140, Acc@20: 0.9940, Param Norm: 80.28, Grad Norm: 2.61
Acc@10: 0.9110, Acc@20: 0.9940, Param Norm: 80.31, Grad Norm: 2.99
Acc@10: 0.9200, Acc@20: 0.9880, Param Norm: 80.35, Grad Norm: 5.35
Acc@10: 0.9120, Acc@20: 0.9940, Param Norm: 80.39, Grad Norm: 3.71
Acc@10: 0.9370, Acc@20: 0.9910, Param Norm: 80.45, Grad Norm: 3.00
Acc@10: 0.9120, Acc@20: 0.9920, Param Norm: 80.49, Grad Norm: 4.40
Acc@10: 0.9210, Acc@20: 0.9910, Param Norm: 80.57, Grad Norm: 5.76
Acc@10: 0.9180, Acc@20: 0.9940, Param Norm: 80.58, Grad Norm: 5.71
Model Saved!
Acc@10: 0.9320, Acc@20: 0.9900, Param Norm: 80.63, Grad Norm: 3.39
Acc@10: 0.9190, Acc@20: 0.9900, Param Norm: 80.66, Grad Norm: 4.67
Acc@10: 0.9260, Acc@20: 0.9890, Param Norm: 80.69, Grad Norm: 4.83
Acc@10: 0.9100, Acc@20: 0.9940, Param Norm: 80.70, Grad Norm: 5.30
Acc@10: 0.9280, Acc@20: 0.9950, Param Norm: 80.73, Grad Norm: 2.17
Acc@10: 0.9420, Acc@20: 0.9900, Param Norm: 80.76, Grad Norm: 4.01
Acc@10: 0.9300, Acc@20: 0.9930, Param Norm: 80.80, Grad Norm: 3.78
Acc@10: 0.9170, Acc@20: 0.9910, Param Norm: 80.82, Grad Norm: 3.42
Acc@10: 0.9340, Acc@20: 0.9920, Param Norm: 80.87, Grad Norm: 4.73
Acc@10: 0.9140, Acc@20: 0.9920, Param Norm: 80.90, Grad Norm: 3.04
Acc@10: 0.9430, Acc@20: 0.9940, Param Norm: 80.92, Grad Norm: 3.20
Acc@10: 0.9160, Acc@20: 0.9880, Param Norm: 80.95, Grad Norm: 3.24
Acc@10: 0.9090, Acc@20: 0.9910, Param Norm: 80.98, Grad Norm: 2.71
Acc@10: 0.9190, Acc@20: 0.9920, Param Norm: 81.02, Grad Norm: 3.79
Acc@10: 0.9210, Acc@20: 0.9960, Param Norm: 81.05, Grad Norm: 2.62
Acc@10: 0.9230, Acc@20: 0.9920, Param Norm: 81.07, Grad Norm: 2.95
Acc@10: 0.9320, Acc@20: 0.9910, Param Norm: 81.08, Grad Norm: 2.96
Acc@10: 0.9280, Acc@20: 0.9920, Param Norm: 81.11, Grad Norm: 2.90
Acc@10: 0.9280, Acc@20: 0.9900, Param Norm: 81.16, Grad Norm: 2.92
Acc@10: 0.9280, Acc@20: 0.9900, Param Norm: 81.20, Grad Norm: 2.98
Model Saved!
Acc@10: 0.9280, Acc@20: 0.9950, Param Norm: 81.24, Grad Norm: 3.19
Acc@10: 0.9100, Acc@20: 0.9920, Param Norm: 81.26, Grad Norm: 3.03
Acc@10: 0.9200, Acc@20: 0.9920, Param Norm: 81.27, Grad Norm: 2.46
Acc@10: 0.9320, Acc@20: 0.9930, Param Norm: 81.30, Grad Norm: 3.32
Acc@10: 0.9240, Acc@20: 0.9900, Param Norm: 81.32, Grad Norm: 2.54
Acc@10: 0.9310, Acc@20: 0.9930, Param Norm: 81.34, Grad Norm: 2.67
Acc@10: 0.9060, Acc@20: 0.9930, Param Norm: 81.36, Grad Norm: 2.28
